Date,Country,Distributor,Brand,Operator,Unit Cost,Amount,Unit Price,Sales
5/24/2018,Colombia,Metro,Apple,Tuenti,750,89,1200,106800
5/31/2020,El Salvador,Saga Falabella,Apple,Tuenti,750,34,1200,40800
8/30/2021,Switzerland,Metro,Apple,Tuenti,750,18,1200,21600
8/3/2021,Mexico,Oeschle,Apple,Tuenti,750,129,1200,154800
3/21/2018,Paraguay,Ripley,Apple,Tuenti,750,95,1200,114000
1/21/2018,Cuba,Ripley,Apple,Tuenti,750,25,1200,30000
4/3/2021,Cuba,Ripley,Apple,Tuenti,750,19,1200,22800
10/31/2020,Jamaica,Oeschle,Apple,Tuenti,750,50,1200,60000
9/19/2019,USA,Saga Falabella,Apple,Tuenti,750,16,1200,19200
6/8/2019,El Salvador,Metro,Apple,Tuenti,750,15,1200,18000
10/14/2021,USA,Plaza Vea,Apple,Tuenti,750,185,1200,222000
5/9/2021,USA,Metro,Apple,Tuenti,750,89,1200,106800
7/6/2019,Colombia,Tottus,Apple,Tuenti,750,250,1200,300000
6/3/2020,Cuba,Plaza Vea,Apple,Tuenti,750,94,1200,112800
12/3/2021,Ireland,Oeschle,Apple,Tuenti,750,31,1200,37200
2/21/2020,Cuba,Saga Falabella,Apple,Tuenti,750,39,1200,46800
2/23/2021,Chile,Ripley,Apple,Tuenti,750,60,1200,72000
9/6/2019,Spain,Plaza Vea,Apple,Tuenti,750,166,1200,199200
12/22/2018,Germany,Tottus,Apple,Tuenti,750,130,1200,156000
5/13/2018,Cuba,Oeschle,Apple,Tuenti,750,57,1200,68400
7/26/2019,Denmark,Saga Falabella,Apple,Tuenti,750,16,1200,19200
1/31/2020,Denmark,Plaza Vea,Apple,Tuenti,750,69,1200,82800
7/30/2021,Colombia,Oeschle,Apple,Tuenti,750,157,1200,188400
11/9/2019,Uruguay,Ripley,Apple,Tuenti,750,53,1200,63600
6/12/2021,El Salvador,Metro,Apple,Tuenti,750,138,1200,165600
5/27/2021,Venezuela,Metro,Apple,Tuenti,750,92,1200,110400
6/19/2018,Portugal,Metro,Apple,Tuenti,750,135,1200,162000
9/13/2018,Switzerland,Plaza Vea,Apple,Tuenti,750,176,1200,211200
1/1/2019,Denmark,Oeschle,Apple,Tuenti,750,105,1200,126000
1/8/2019,Brasil,Plaza Vea,Apple,Tuenti,750,153,1200,183600
6/27/2018,Brasil,Metro,Apple,Tuenti,750,86,1200,103200
3/27/2018,El Salvador,Oeschle,Apple,Tuenti,750,126,1200,151200
10/28/2020,Germany,Tottus,Apple,Tuenti,750,64,1200,76800
12/23/2021,Jamaica,Saga Falabella,Apple,Tuenti,750,5,1200,6000
4/4/2021,Portugal,Metro,Apple,Tuenti,750,134,1200,160800
8/5/2018,Switzerland,Plaza Vea,Apple,Tuenti,750,54,1200,64800
4/28/2021,Guatemala,Metro,Apple,Tuenti,750,9,1200,10800
12/22/2021,Spain,Ripley,Apple,Tuenti,750,48,1200,57600
